document_id,title,author,state,category,created_date,modified_date,published_date,version,page_count,file_size,view_count,summary,tags,access_level
DOC-10025,Q1 2025 Financial Report,Jennifer Roberts,published,Financial,2025-01-25,2025-04-05,2025-04-10,2.1,45,2.3,124,"Comprehensive financial report for Q1 2025 with revenue analysis, expense breakdown, and forecasts","financial,quarterly,report,2025",restricted
DOC-10026,Product Development Roadmap,Michael Chen,draft,Product,2025-03-18,2025-04-12,,1.3,15,0.8,7,"Preliminary roadmap for product development initiatives for remainder of 2025","roadmap,product,development,internal",confidential
DOC-10027,Employee Handbook 2025,HR Department,published,HR,2024-12-10,2025-01-15,2025-01-20,3.0,72,4.1,348,"Complete employee handbook with updated policies, benefits information, and company procedures","handbook,hr,policies,benefits",general
DOC-10028,Customer Survey Results,Sarah Johnson,published,Marketing,2025-02-28,2025-03-10,2025-03-15,1.0,18,1.2,87,"Analysis of customer satisfaction survey conducted in February 2025","survey,customers,satisfaction,analysis",internal
DOC-10029,Board Meeting Minutes - March,Thomas Williams,published,Administrative,2025-03-15,2025-03-20,2025-03-25,1.1,8,0.5,42,"Minutes from the March 2025 board of directors meeting","board,minutes,meeting,governance",restricted
DOC-10030,Marketing Strategy 2025-2026,Marketing Team,review,Marketing,2025-03-05,2025-04-08,,2.4,34,2.8,15,"Comprehensive marketing strategy document covering the next 18 months of campaigns and initiatives","marketing,strategy,planning,campaigns",confidential
DOC-10031,Technical Specification - API v3,David Kumar,archived,Technical,2023-06-12,2024-05-20,2024-05-25,4.0,65,3.2,230,"Technical specification for version 3 of the company API including endpoints and authentication","api,technical,specification,development",internal
DOC-10032,Security Incident Report,Security Team,published,Security,2025-02-15,2025-02-18,2025-02-20,1.2,12,0.7,96,"Analysis and mitigation steps for the February 2025 security incident","security,incident,report,confidential",restricted
DOC-10033,Sales Training Manual,Robert Johnson,published,Sales,2024-09-05,2025-01-10,2025-01-15,2.5,48,3.4,175,"Comprehensive sales training manual with techniques, scripts, and case studies","sales,training,manual,onboarding",internal
DOC-10034,Project Alpha Proposal,Emily Chen,draft,Projects,2025-04-02,2025-04-12,,1.0,22,1.5,5,"Initial proposal for Project Alpha including scope, timeline, and budget estimates","project,proposal,alpha,development",confidential
DOC-10035,Legal Compliance Review,Legal Department,review,Legal,2025-03-25,2025-04-07,,1.4,30,1.8,12,"Review of legal compliance status across all departments and territories","legal,compliance,review,regulations",confidential
DOC-10036,Customer Support Guidelines,Support Team,published,Support,2024-11-15,2025-02-10,2025-02-15,3.2,25,1.4,156,"Updated guidelines for customer support team including procedures and best practices","support,guidelines,customer service,procedures",general
DOC-10037,Office Relocation Plan,Operations Team,published,Operations,2025-01-05,2025-02-28,2025-03-05,2.0,18,1.1,82,"Detailed plan for the upcoming office relocation including timeline and logistics","relocation,office,logistics,planning",internal
DOC-10038,Competitive Analysis Report,Strategic Team,published,Research,2025-02-10,2025-03-15,2025-03-20,1.5,42,2.6,68,"Analysis of key competitors in the market including strengths and weaknesses","competitive,analysis,market,research",restricted
DOC-10039,Sustainability Initiative 2025,Green Committee,draft,CSR,2025-03-20,2025-04-10,,1.2,28,1.7,9,"Draft plan for 2025 sustainability initiatives including carbon reduction goals","sustainability,green,environment,csr",internal
DOC-10040,Quarterly All-Hands Presentation,Executive Team,published,Internal Communications,2025-04-01,2025-04-05,2025-04-06,1.0,15,8.2,245,"Presentation slides for Q2 2025 all-hands company meeting","presentation,all-hands,quarterly,internal",general