event_id,event_name,timestamp,severity,resolved_at,source,component,user_id,duration_ms,affected_users,retry_count,message,stack_trace,status_code,environment
EVT-20230415-001,API Authentication Failure,2025-04-15T08:23:15,critical,2025-04-15T09:15:22,auth-service,authentication,user123,45820,132,3,"Multiple failed authentication attempts detected from suspicious IP range","java.security.AuthenticationException: Invalid token format at com.example.auth.TokenValidator.validate(TokenValidator.java:156)",401,production
EVT-20230415-002,Database Connection Timeout,2025-04-15T10:05:43,high,2025-04-15T10:35:10,data-service,database,system,1767000,58,2,"Database connection pool exhausted, timeout occurred","java.sql.SQLTimeoutException: Connection timed out at com.example.db.ConnectionManager.getConnection(ConnectionManager.java:89)",503,production
EVT-20230415-003,Cache Refresh Completed,2025-04-15T12:00:00,info,,cache-service,redis,system,12500,0,0,"Scheduled cache refresh completed successfully",,,production
EVT-20230415-004,User Login Success,2025-04-15T13:10:25,info,,auth-service,login,user456,320,0,0,"Successful user login",,,production
EVT-20230415-005,File Upload Failed,2025-04-15T14:23:56,medium,2025-04-15T14:45:12,storage-service,s3,user789,1276000,1,2,"File upload failed due to insufficient permissions","com.amazonaws.AmazonS3Exception: Access Denied (Service: Amazon S3; Status Code: 403)",403,production
EVT-20230415-006,Memory Usage Alert,2025-04-15T15:30:45,high,2025-04-15T16:20:30,monitoring-service,alerts,system,2985000,0,0,"Server memory usage exceeded 90% threshold",,,production
EVT-20230415-007,Scheduled Backup Completed,2025-04-15T02:00:12,info,,backup-service,database,system,1850000,0,0,"Weekly database backup completed successfully",,,production
EVT-20230415-008,API Rate Limit Exceeded,2025-04-15T11:45:32,medium,2025-04-15T11:50:15,api-gateway,rate-limiting,user234,285000,1,4,"User exceeded API rate limit of 100 requests per minute","com.example.api.RateLimitExceededException: Rate limit exceeded at com.example.api.RateLimiter.checkLimit(RateLimiter.java:75)",429,production
EVT-20230415-009,Payment Processing Error,2025-04-15T16:05:22,high,2025-04-15T16:45:10,payment-service,stripe,user567,2388000,1,1,"Payment processing failed due to expired card","com.stripe.exception.CardException: Your card has expired at com.stripe.Payment.process(Payment.java:211)",400,production
EVT-20230415-010,System Health Check Failed,2025-04-15T03:15:00,critical,2025-04-15T05:30:45,monitoring-service,health-check,system,8145000,245,5,"Multiple critical services failed health check","java.net.ConnectException: Connection refused at com.example.monitoring.HealthChecker.check(HealthChecker.java:134)",503,production
EVT-20230415-011,User Registration Completed,2025-04-15T09:45:18,info,,user-service,registration,user890,750,0,0,"New user registration completed successfully",,,production
EVT-20230415-012,Disk Space Warning,2025-04-15T17:20:45,medium,2025-04-15T18:15:30,storage-service,filesystem,system,3285000,0,0,"Server disk space usage exceeded 85% threshold",,,production
EVT-20230415-013,Service Restart,2025-04-15T04:30:00,medium,2025-04-15T04:35:15,orchestration-service,kubernetes,system,315000,28,0,"Scheduled service restart completed successfully",,,production
EVT-20230415-014,Failed Login Attempt,2025-04-15T19:12:34,low,,auth-service,login,unknown,150,0,0,"Failed login attempt for non-existent user account",,,production
EVT-20230415-015,Database Indexing Completed,2025-04-15T01:15:00,info,,data-service,database,system,3600000,0,0,"Monthly database re-indexing completed successfully",,,production
EVT-20230415-016,Network Latency Spike,2025-04-15T14:05:23,high,2025-04-15T14:25:10,network-service,monitoring,system,1187000,175,0,"Significant network latency spike detected between US-East and EU-West regions",,,production
EVT-20230415-017,SSL Certificate Expiration Warning,2025-04-15T10:00:00,medium,,security-service,certificates,system,250,0,0,"SSL certificate will expire in 15 days",,,production
EVT-20230415-018,User Password Changed,2025-04-15T16:45:22,info,,user-service,account,user345,420,0,0,"User successfully changed their password",,,production
EVT-20230415-019,Data Synchronization Error,2025-04-15T20:10:15,high,2025-04-15T21:05:30,sync-service,data-sync,system,3315000,42,3,"Data synchronization failed between primary and replica databases","java.io.IOException: Connection reset at com.example.sync.DataSynchronizer.sync(DataSynchronizer.java:218)",500,production
EVT-20230415-020,Automated Test Suite Completed,2025-04-15T22:00:00,info,,ci-service,testing,system,1800000,0,0,"Nightly automated test suite completed with 98.5% pass rate",,,production