product_id,product_name,category,brand,price,cost,weight,stock_level,rating,inventory_status,created_at,updated_at,last_ordered,description,tags
P1001,Ultra HD Smart TV 55",Electronics,TechVision,899.99,650.00,18.5,24,4.7,in_stock,2025-01-15,2025-04-10,2025-04-12,"55-inch Ultra HD Smart TV with voice control and streaming apps","tv,smart,electronics,4k"
P1002,Wireless Noise-Cancelling Headphones,Electronics,AudioMax,249.99,125.50,0.35,42,4.8,in_stock,2024-11-05,2025-03-22,2025-04-14,"Premium wireless headphones with adaptive noise cancellation and 30-hour battery life","audio,wireless,headphones,bluetooth"
P1003,Organic Cotton T-Shirt,Clothing,EcoWear,29.99,12.75,0.22,185,4.2,in_stock,2024-12-10,2025-02-15,2025-04-10,"Sustainable organic cotton t-shirt available in multiple colors","clothing,organic,sustainable,casual"
P1004,Professional Chef Knife Set,Kitchen,CulinaryPro,129.95,65.00,2.8,18,4.9,low_stock,2025-01-20,2025-04-01,2025-04-05,"6-piece professional chef knife set with German steel blades","kitchen,cooking,knives,premium"
P1005,Natural Bamboo Cutting Board,Kitchen,EcoHome,34.95,16.50,1.2,0,4.5,out_of_stock,2024-10-12,2025-03-15,2025-03-28,"Eco-friendly bamboo cutting board with juice groove","kitchen,bamboo,sustainable,cutting board"
P1006,Organic Fair Trade Coffee Beans,Grocery,MountainBrew,18.99,9.25,0.5,42,4.6,in_stock,2025-02-01,2025-04-10,2025-04-13,"Ethically sourced organic dark roast coffee beans from Colombia","coffee,organic,fair trade,grocery"
P1007,Premium Yoga Mat,Sports,ZenFit,45.99,22.50,1.8,35,4.7,in_stock,2024-11-15,2025-02-20,2025-04-08,"Extra thick eco-friendly yoga mat with alignment marks and carrying strap","yoga,fitness,exercise,eco-friendly"
P1008,Stainless Steel Water Bottle,Sports,HydroTech,24.99,10.75,0.4,67,4.3,in_stock,2024-12-05,2025-03-10,2025-04-11,"Vacuum insulated stainless steel water bottle, keeps drinks cold for 24 hours","water bottle,stainless steel,eco-friendly,sports"
P1009,Organic Coconut Oil,Beauty,NaturalGlow,15.95,7.25,0.5,0,4.8,out_of_stock,2025-01-10,2025-03-25,2025-03-25,"Cold-pressed organic virgin coconut oil for cooking and skincare","coconut oil,organic,beauty,cooking"
P1010,Smart Home Security Camera,Electronics,SecureView,79.99,45.00,0.3,12,4.4,low_stock,2025-02-15,2025-04-05,2025-04-14,"Wireless HD security camera with motion detection and night vision","security,camera,smart home,electronics"
P1011,Leather Wallet,Accessories,UrbanStyle,39.99,18.50,0.15,28,4.6,in_stock,2024-11-20,2025-03-12,2025-04-09,"Genuine leather bifold wallet with RFID protection","wallet,leather,accessories,rfid"
P1012,Organic Baby Food Set,Baby,NatureKids,24.95,12.25,1.2,43,4.7,in_stock,2025-01-05,2025-03-18,2025-04-12,"Set of 6 organic fruit and vegetable baby food pouches","baby,organic,food,natural"
P1013,Bluetooth Portable Speaker,Electronics,SoundWave,69.99,35.00,0.8,0,4.5,out_of_stock,2024-12-15,2025-03-01,2025-03-15,"Waterproof portable bluetooth speaker with 20-hour battery life","speaker,bluetooth,wireless,waterproof"
P1014,Cast Iron Skillet,Kitchen,HeritageKitchen,49.95,24.50,4.2,22,4.9,in_stock,2024-10-30,2025-02-10,2025-04-07,"Pre-seasoned 10-inch cast iron skillet for cooking and baking","kitchen,cast iron,cooking,baking"
P1015,Organic Honey,Grocery,WildHarvest,12.99,6.50,0.75,35,4.8,in_stock,2025-02-10,2025-04-08,2025-04-14,"Raw unfiltered organic honey sourced from local farms","honey,organic,natural,grocery"